,Province,Population,Area[km2],ISP Count,ISP_per_capita,Accesses per 100 houses,Potential Customers per Sup
0,Misiones,1280960,29801,73,5.69885086185361e-05,51.82,0.0016167242709976175
1,San Luis,540905,76748,20,3.697506955934961e-05,81.74,0.0002379215093552927
2,San Juan,818234,89651,46,5.621863672250236e-05,50.8,0.0005487947708335657
3,Entre Ríos,1426426,78781,62,4.346527615172466e-05,63.67,0.00046115180056104896
4,Santa Cruz,333473,243943,24,7.19698446350979e-05,43.19,0.00023288227167821992
5,Río Negro,792067,203013,40,5.050077834324621e-05,67.98,0.00015772388960312884
6,Chubut,603120,224686,32,5.305743467303356e-05,84.38,6.951924018407914e-05
7,Córdoba,3978984,165321,246,6.18248276444439e-05,88.31,7.071091996782016e-05
8,Mendoza,2014533,148827,73,3.623668612030679e-05,51.03,0.0003290397575708709
9,La Rioja,384607,89680,9,2.3400510131120857e-05,80.66,0.00021565566458519182
10,Catamarca,429556,102602,28,6.518358491093128e-05,65.33,0.000337907643125865
11,La Pampa,366022,143440,45,0.00012294342962991295,96.59,2.37730061349693e-05
12,Santiago del Estero,1054028,136351,24,2.276979359182109e-05,47.98,0.00038151535375611476
13,Corrientes,1197553,88199,72,6.012260000183708e-05,48.21,0.000587194866154945
14,Santa Fe,3556522,133007,141,3.964547386463517e-05,78.55,0.00016126970760937397
15,Tucumán,1703186,22524,65,3.816377072145966e-05,61.14,0.0017252708222340613
16,Neuquén,726590,94078,37,5.09228037820504e-05,80.37,0.00020865664661238542
17,Salta,1440672,155488,97,6.732969058883633e-05,57.76,0.000271660835562873
18,Chaco,1142963,99633,77,6.736875996860791e-05,43.86,0.000563467927293166
19,Formosa,606041,72066,34,5.610181489371181e-05,43.76,0.0007803957483417978
20,Jujuy,797955,53219,53,6.64197855768809e-05,58.91,0.0007720926736691783
21,Ciudad de Buenos Aires,3120612,203,206,6.60126923821353e-05,122.28,-0.1097536945812808
22,Buenos Aires,17569053,307368,426,2.424718053955441e-05,78.11,7.121756331173056e-05
23,Tierra del Fuego,190641,21571,13,6.819099773920615e-05,99.51,2.2715683093041345e-05
