,Year,Trimester,Access over 100 houses,Date
0,2022,3,76.64,2022-07-01
1,2022,2,75.97,2022-04-01
2,2022,1,73.88,2022-01-01
3,2021,4,73.18,2021-10-01
4,2021,3,70.58,2021-07-01
5,2021,2,69.24,2021-04-01
6,2021,1,67.95,2021-01-01
7,2020,4,67.62,2020-10-01
8,2020,3,66.31,2020-07-01
9,2020,2,64.21,2020-04-01
10,2020,1,62.86,2020-01-01
11,2019,4,62.92,2019-10-01
12,2019,3,65.79,2019-07-01
13,2019,2,64.53,2019-04-01
14,2019,1,62.48,2019-01-01
15,2018,4,61.42,2018-10-01
16,2018,3,60.69,2018-07-01
17,2018,2,59.16,2018-04-01
18,2018,1,58.82,2018-01-01
19,2017,4,57.78,2017-10-01
20,2017,3,56.9,2017-07-01
21,2017,2,54.9,2017-04-01
22,2017,1,54.16,2017-01-01
23,2016,4,53.94,2016-10-01
24,2016,3,53.73,2016-07-01
25,2016,2,53.34,2016-04-01
26,2016,1,51.85,2016-01-01
27,2015,4,52.63,2015-10-01
28,2015,3,52.46,2015-07-01
29,2015,2,51.76,2015-04-01
30,2015,1,51.36,2015-01-01
31,2014,4,50.5,2014-10-01
32,2014,3,50.67,2014-07-01
33,2014,2,49.86,2014-04-01
34,2014,1,49.55,2014-01-01
