,Year,Trimester,Incomes [Thousand AR Pesos],date
0,2022,3,67055930,2022-07-01
1,2022,2,60335724,2022-04-01
2,2022,1,55589997,2022-01-01
3,2021,4,45467887,2021-10-01
4,2021,3,42999944,2021-07-01
5,2021,2,38239667,2021-04-01
6,2021,1,36676371,2021-01-01
7,2020,4,33539703,2020-10-01
8,2020,3,31997445,2020-07-01
9,2020,2,32102476,2020-04-01
10,2020,1,29946216,2020-01-01
11,2019,4,24169251,2019-10-01
12,2019,3,21652748,2019-07-01
13,2019,2,20743118,2019-04-01
14,2019,1,20207414,2019-01-01
15,2018,4,16637687,2018-10-01
16,2018,3,15410981,2018-07-01
17,2018,2,14319467,2018-04-01
18,2018,1,13171459,2018-01-01
19,2017,4,11226127,2017-10-01
20,2017,3,10065998,2017-07-01
21,2017,2,9678647,2017-04-01
22,2017,1,8701201,2017-01-01
23,2016,4,7483980,2016-10-01
24,2016,3,6912442,2016-07-01
25,2016,2,6534241,2016-04-01
26,2016,1,5936845,2016-01-01
27,2015,4,5376899,2015-10-01
28,2015,3,5153739,2015-07-01
29,2015,2,4701791,2015-04-01
30,2015,1,4876385,2015-01-01
31,2014,4,3950441,2014-10-01
32,2014,3,3478638,2014-07-01
33,2014,2,3270816,2014-04-01
34,2014,1,2984054,2014-01-01
