,Year,Trimester,Provincia,ADSL,Cablemodem,Optical Fiber,Wireless,Others,Total,date,FB_ADSL_ratio
0,2022,3,Buenos Aires,339648,2748325,1436433,126846,70416,4721668,2022-07-01,4.229181387789712
1,2022,3,Ciudad de Buenos Aires,140791,1240125,129218,5758,31787,1547679,2022-07-01,0.9178001434750801
2,2022,3,Catamarca,10010,10495,46224,1329,2235,70293,2022-07-01,4.617782217782218
3,2022,3,Chaco,27164,61800,44645,8178,2359,144146,2022-07-01,1.6435355617729348
4,2022,3,Chubut,45377,72212,9574,29784,8831,165778,2022-07-01,0.21098794543491195
5,2022,3,Córdoba,163770,465461,338570,6107,9797,1038668,2022-07-01,2.067350552604262
6,2022,3,Corrientes,36508,77140,18619,7256,5323,144846,2022-07-01,0.5099978086994631
7,2022,3,Entre Ríos,60345,132952,36971,26098,12593,268959,2022-07-01,0.6126605352556136
8,2022,3,Formosa,14470,25880,11041,16935,2120,68538,2022-07-01,0.7630269523151347
9,2022,3,Jujuy,19257,52978,40172,4033,2383,118823,2022-07-01,2.0860985615620296
10,2022,3,La Pampa,7796,60078,23551,20216,4451,116092,2022-07-01,3.020908158029759
11,2022,3,La Rioja,6842,53899,19697,6395,310,86864,2022-07-01,2.878836597486115
12,2022,3,Mendoza,37659,78858,142615,27625,2766,289523,2022-07-01,3.787009745346398
13,2022,3,Misiones,35513,88902,39046,11074,7622,182157,2022-07-01,1.09948469574522
14,2022,3,Neuquén,29352,75815,29396,27482,1116,163161,2022-07-01,1.0014990460615971
15,2022,3,Río Negro,35552,48260,41017,1676,18969,160558,2022-07-01,1.153718496849685
16,2022,3,Salta,40006,96984,50254,10082,7215,204541,2022-07-01,1.2561615757636355
17,2022,3,San Juan,38570,22723,12328,2186,7918,103399,2022-07-01,0.31962665283899405
18,2022,3,San Luis,6860,29363,248,70614,14985,122070,2022-07-01,0.036151603498542274
19,2022,3,Santa Cruz,10170,24047,10815,3896,5820,49510,2022-07-01,1.0634218289085546
20,2022,3,Santa Fe,183740,426255,215189,43079,19547,887810,2022-07-01,1.1711603352563404
21,2022,3,Santiago del Estero,15385,80937,13170,6618,2922,119032,2022-07-01,0.8560285992850178
22,2022,3,Tierra del Fuego,12754,39963,403,1250,6510,53896,2022-07-01,0.031597930061157284
23,2022,3,Tucumán,77738,18518,162345,3997,5190,263117,2022-07-01,2.0883609045769123
24,2022,2,Buenos Aires,350652,2719613,1399043,126847,71028,4667183,2022-04-01,3.989833224963782
25,2022,2,Ciudad de Buenos Aires,145491,1232226,121506,5757,31791,1536771,2022-04-01,0.8351444419242428
26,2022,2,Catamarca,11928,9430,42087,1329,2234,67008,2022-04-01,3.528420523138833
27,2022,2,Chaco,29552,61284,42194,8178,2356,143564,2022-04-01,1.4277883053600433
